symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2016-04-13 00:00:00+00:00,55.35,55.4375,54.89,55.12,20817961,51.0034893925,51.0841182149,50.5796121546,50.7915507735,20817961,0.0,1.0
MSFT,2016-04-14 00:00:00+00:00,55.36,55.575,55.07,55.22,20877108,51.0127041151,51.2108206502,50.7454771607,50.8836979992,20877108,0.0,1.0
MSFT,2016-04-15 00:00:00+00:00,55.65,55.92,55.11,55.3,28793753,51.2799310694,51.5287285787,50.782336051,50.9574157797,28793753,0.0,1.0
MSFT,2016-04-18 00:00:00+00:00,56.46,56.59,55.21,55.49,23785950,52.0263235971,52.1461149905,50.8744832766,51.1324955084,23785950,0.0,1.0
MSFT,2016-04-19 00:00:00+00:00,56.39,56.77,55.68,56.63,29596827,51.9618205392,52.3119799966,51.3075752371,52.1829738807,29596827,0.0,1.0
MSFT,2016-04-20 00:00:00+00:00,55.59,56.5,55.485,56.29,36195714,51.224642734,52.0631824874,51.1278881471,51.8696733135,36195714,0.0,1.0
MSFT,2016-04-21 00:00:00+00:00,55.78,56.23,55.415,55.8,38909096,51.3997224628,51.8143849781,51.0633850892,51.4181519079,38909096,0.0,1.0
MSFT,2016-04-22 00:00:00+00:00,51.78,52.4297,50.77,51.91,126834091,47.7138334371,48.3125139621,46.7831464581,47.8336248304,126834091,0.0,1.0
MSFT,2016-04-25 00:00:00+00:00,52.11,52.13,51.63,51.78,33226948,48.0179192817,48.0363487269,47.5756125986,47.7138334371,33226948,0.0,1.0
MSFT,2016-04-26 00:00:00+00:00,51.44,52.35,51.09,52.26,33532636,47.4005328699,48.2390726233,47.0780175802,48.1561401202,33532636,0.0,1.0
MSFT,2016-04-27 00:00:00+00:00,50.94,51.5,50.55,51.48,43369256,46.9397967417,47.4558212053,46.5804225617,47.4373917602,43369256,0.0,1.0
MSFT,2016-04-28 00:00:00+00:00,49.9,50.77,49.56,50.62,43134846,45.981465595,46.7831464581,45.6681650279,46.6449256197,43134846,0.0,1.0
MSFT,2016-04-29 00:00:00+00:00,49.87,50.25,49.35,49.35,48411684,45.9538214274,46.3039808848,45.474655854,45.474655854,48411684,0.0,1.0
MSFT,2016-05-02 00:00:00+00:00,50.61,50.75,49.7799,50.0,33114539,46.6357108971,46.764717013,45.8707967771,46.0736128207,33114539,0.0,1.0
MSFT,2016-05-03 00:00:00+00:00,49.78,50.41,49.6,50.34,26460244,45.8708889243,46.4514164458,45.7050239181,46.3869133879,26460244,0.0,1.0
MSFT,2016-05-04 00:00:00+00:00,49.87,50.06,49.46,49.84,24257556,45.9538214274,46.1289011561,45.5760178022,45.9261772597,24257556,0.0,1.0
MSFT,2016-05-05 00:00:00+00:00,49.94,50.3,49.73,49.87,25390718,46.0183244853,46.3500544976,45.8248153115,45.9538214274,25390718,0.0,1.0
MSFT,2016-05-06 00:00:00+00:00,50.39,50.39,49.66,49.92,24787301,46.4329870007,46.4329870007,45.7603122535,45.9998950402,24787301,0.0,1.0
MSFT,2016-05-09 00:00:00+00:00,50.07,50.585,50.0,50.49,17951598,46.1381158786,46.6126740907,46.0736128207,46.5251342263,17951598,0.0,1.0
MSFT,2016-05-10 00:00:00+00:00,51.02,51.1,50.19,50.33,22890966,47.0135145222,47.0872323027,46.2486925494,46.3776986653,22890966,0.0,1.0
